spanish,english
de,of
la,the
que,that
el,he
en,in
y,and
a,a
los,the
del,of the
se,I know
las,the
por,by
un,a
para,to
con,with
no,not
es,is
al,to the
como,as
más,further
ha,ha
sus,their
le,you
lo,it
com,com
este,East
ser,be
dos,two
haber,to have
también,too
así,So
me,I
ya,Already
entre,Come in
esta,is
porque,why
muy,very
fuera,out
otro,other
pero,but
está,is
eso,that
si,Yeah
sí,Yeah
cómo,What
hacer,do
están,are
hasta,until
donde,where
son,They are
tan,so
este,East
durante,during
todos,all
una,a
algo,something
ver,see
mucho,much
sólo,only
hacia,toward
aquí,here
qué,what
quien,who
desde,from
todo,all
también,too
hay,there is
estar,be
esto,this
allí,over there
mientras,While
sobre,upon
poder,can
algunos,some
será,will be
estos,these
años,years
estás,these
parte,part
tenía,I had
tenemos,have
antes,before
siempre,always
vez,time
esa,that
estoy,am
toda,all
nada,nothing
nos,us
tiempo,time
han,they have
gran,great
cosas,stuff
casa,home
donde,where
puede,may
mundo,world
muchos,many
país,country
casi,almost
